Number of mentions,Committee
25,Appropriations
14,Homeland Security and Governmental Affairs
11,Armed Services
10,"Commerce, Science, and Transportation"
7,Energy and Natural Resources
7,Intelligence (Select)
1,"Banking, Housing, and Urban Affairs"
