Year,Query emissions (g),Task
2023,0.242881134,Fill mask
2023,0.242930651,Fill mask
2023,0.243086479,Fill mask
2023,0.243355921,Fill mask
2023,0.243371345,Fill mask
2023,0.243751193,Fill mask
2023,0.243783905,Question answering
2023,0.2437889987871999,Fill mask
2023,0.2439656506791999,Question answering
2023,0.244182945,Question answering
2023,0.244469124,Question answering
2023,0.244614542,Question answering
2023,0.244681219,Question answering
2023,0.244686809,Question answering
2023,0.2451220290544999,Question answering
2023,0.245448018,Question answering
2023,0.245605312,Question answering
2023,0.245655146,Question answering
2023,0.245699095,Question answering
2023,0.245927133,Question answering
2023,0.245957078,Fill mask
2023,0.2465393251893999,Fill mask
2023,0.246633463,Fill mask
2023,0.2467578855527999,Question answering
2023,0.2470192097876999,Fill mask
2023,0.247423009,Question answering
2023,0.247588738,Question answering
2023,0.248209484,Question answering
2023,0.2484814714703999,Fill mask
2023,0.248706494,Question answering
2023,0.2488962443240999,Fill mask
2023,0.2506651684820999,Question answering
2023,0.250685243,Question answering
2023,0.251331552,Question answering
2023,0.251855996,Fill mask
2023,0.252108478,Question answering
2023,0.252142702,Question answering
2023,0.252315818,Question answering
2023,0.253353646,Question answering
2023,0.253577562,Fill mask
2023,0.2543285233132999,Question answering
2023,0.25520531,Question answering
2023,0.256868448,Fill mask
2023,0.257766102,Question answering
2023,0.2580389210247999,Question answering
2023,0.258476083,Fill mask
2023,0.25871941,Question answering
2023,0.2611341,Fill mask
2023,0.261444233,Fill mask
2023,0.262133465,Fill mask
2023,0.269276703,Fill mask
2023,0.270129579,Fill mask
2023,0.270390619,Fill mask
2023,0.2718963070317999,Fill mask
2023,0.273233386,Fill mask
2023,0.2824972113428999,Text classification
2023,0.286730728,Text classification
2023,0.305806341,Text classification
2023,0.310641374,Text classification
2023,0.310899489,Text classification
2023,0.311212098,Text classification
2023,0.311819829,Text classification
2023,0.31241893,Text classification
2023,0.31314651,Text classification
2023,0.3133760753287999,Text classification
2023,0.313557389,Text classification
2023,0.313993897,Text classification
2023,0.314003061,Text classification
2023,0.314822381,Text classification
2023,0.3150094608868999,Text classification
2023,0.315100175,Text classification
2023,0.315679994,Text classification
2023,0.315794625,Text classification
2023,0.316029492,Text classification
2023,0.316123837,Text classification
2023,0.316299491,Text classification
2023,0.316435975,Text classification
2023,0.31674819,Text classification
2023,0.31677237,Text classification
2023,0.3171033610568999,Text classification
2023,0.317273506,Text classification
2023,0.317642657,Text classification
2023,0.317874477,Text classification
2023,0.31800989,Text classification
2023,0.318126073,Text classification
2023,0.3182196,Token classification
2023,0.318356352,Text classification
2023,0.318625666,Text classification
2023,0.319008063,Text classification
2023,0.3193275705198999,Text classification
2023,0.319379705,Text classification
2023,0.319399264,Text classification
2023,0.320367061,Token classification
2023,0.320728778,Text classification
2023,0.320924149,Token classification
2023,0.3209732323506999,Text classification
2023,0.3212493546475999,Text classification
2023,0.3213012917323999,Text classification
2023,0.321896933,Token classification
2023,0.322107401,Token classification
2023,0.322189174,Token classification
2023,0.322480612,Token classification
2023,0.322507867,Token classification
2023,0.322582198,Text classification
2023,0.32275663,Text classification
2023,0.322775264,Text classification
2023,0.322852662,Text classification
2023,0.323075638,Text classification
2023,0.3236342634692999,Token classification
2023,0.323737959,Text classification
2023,0.323760256,Text classification
2023,0.324369795,Text classification
2023,0.324560922,Token classification
2023,0.324634777,Text classification
2023,0.3246929365065999,Token classification
2023,0.325081446,Text classification
2023,0.325299746,Text classification
2023,0.325358166,Text classification
2023,0.325369627,Token classification
2023,0.325377589,Token classification
2023,0.325464263,Text classification
2023,0.325704279,Token classification
2023,0.325808217,Token classification
2023,0.325980003,Token classification
2023,0.326198528,Text classification
2023,0.326303562,Text classification
2023,0.326306418,Text classification
2023,0.326449023,Text classification
2023,0.326659453,Text classification
2023,0.326796274,Text classification
2023,0.326887429,Text classification
2023,0.3269858059700999,Text classification
2023,0.3270452446194999,Text classification
2023,0.3275266337517999,Text classification
2023,0.327746496,Token classification
2023,0.328470001,Text classification
2023,0.329040705,Token classification
2023,0.3290608587119999,Token classification
2023,0.3291596126907999,Token classification
2023,0.329359906,Text classification
2023,0.329682344,Text classification
2023,0.329911764,Token classification
2023,0.329952423,Text classification
2023,0.330005833,Token classification
2023,0.330457018,Text classification
2023,0.330967299,Token classification
2023,0.3312418617204999,Token classification
