Year,Number of AI publications (in thousands)
2010,72.445
2011,77.031
2012,81.22
2013,87.249
2014,92.733
2015,96.89
2016,100.555
2017,109.949
2018,131.579
2019,163.777
2020,189.11
2021,222.659
2022,232.673
