Year,Total value awarded (in billions of U.S. dollars),Label
2018,0.02,OTAs
2019,0.13,OTAs
2020,0.14,OTAs
2021,0.1,OTAs
2022,0.08,OTAs
2023,0.06,OTAs
2018,0.19,Grants
2019,0.2,Grants
2020,0.28,Grants
2021,0.32,Grants
2022,0.86,Grants
2023,1.58,Grants
2018,1.17,Contracts
2019,1.56,Contracts
2020,2.05,Contracts
2021,2.18,Contracts
2022,2.25,Contracts
2023,1.68,Contracts
