"Granted AI patents (per 100,000 inhabitants)",Country
0.2825218892662518,Lithuania
0.325137174417601,France
0.33176557834546555,New Zealand
0.4225684712107311,United Kingdom
0.5579447188372576,Finland
0.5590342733748747,Denmark
0.6599204026206597,Germany
1.2483976969682584,Canada
1.9072859090793732,Australia
2.0578241489921454,Singapore
2.508895852142971,China
2.5294707518415844,Japan
4.230881022659961,United States
8.727566708467117,Luxembourg
10.257976288385649,South Korea
