Organization,Number of foundation models
AI2,4
Anthropic,5
BigScience,4
Cohere,5
DeepMind,15
EleutherAI,6
Google,40
Hugging Face,5
Meta,19
Microsoft,18
OpenAI,20
Shanghai AI Laboratory,4
Stanford University,5
Together,6
Tsinghua University,7
