Sampling temperature,Win rate,Label
1.00015880686757,0.0584180645549916,GPT-J
0.760428888064431,0.0737674328185343,GPT-J
0.519769401476082,0.0971752912942348,GPT-J
0.278940155822393,0.0581372775848212,GPT-J
0.0477351539536749,0.0593773401766314,GPT-J
1.00287768996244,0.358559211003673,Preferred-FT
0.762188084830248,0.37088796312395,Preferred-FT
0.518715252441313,0.409406568854413,Preferred-FT
0.279846450187351,0.391517659734381,Preferred-FT
0.0486113297747817,0.381678615970768,Preferred-FT
1.00168253138146,0.268920126990733,SFT
0.76111066237523,0.324558113045847,SFT
0.520547007517314,0.383217673561531,SFT
0.280773279923115,0.382451978035367,SFT
0.0477255707806315,0.405852169972633,SFT
1.00222192712133,0.467336849901498,Best of 128
0.761625415670131,0.513910112574902,Best of 128
0.520113026680923,0.573577822894747,Best of 128
0.280246205405731,0.538567616815456,Best of 128
0.0487126376040972,0.418944700984465,Best of 128
1.00018892541142,0.069497170910415,PPO
0.760765668145669,0.197651985701905,PPO
0.520582602160047,0.396311162890668,PPO
0.279261876631706,0.52648227729048,PPO
0.049123345020241,0.570023424012967,PPO
1.00294614119847,0.38373899817509,DPO
0.761639105917335,0.518946070009186,DPO
0.521116521801034,0.59271350282772,DPO
0.280462511311566,0.618135744277134,DPO
0.0502035055246992,0.617360465577926,DPO
