Statement,Country,% agreeing with statement
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Great Britain,34%
I trust that companies that use artificial intelligence will protect my personal data,Great Britain,42%
I know which types of products and services use artificial intelligence,Great Britain,43%
I trust companies that use artificial intelligence as much as I trust other companies,Great Britain,45%
Products and services using artificial intelligence make me nervous,Great Britain,65%
Products and services using artificial intelligence have more benefits than drawbacks,Great Britain,46%
I have a good understanding of what artificial intelligence is,Great Britain,64%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Great Britain,58%
Products and services using artificial intelligence make me excited,Great Britain,42%
I trust artificial intelligence to not discriminate or show bias towards any group of people,Great Britain,47%
I have a good understanding of what artificial intelligence is,Hungary,73%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Hungary,62%
I trust artificial intelligence to not discriminate or show bias towards any group of people,Hungary,66%
Products and services using artificial intelligence have more benefits than drawbacks,Hungary,48%
I trust companies that use artificial intelligence as much as I trust other companies,Hungary,46%
Products and services using artificial intelligence make me nervous,Hungary,46%
I know which types of products and services use artificial intelligence,Hungary,37%
I trust that companies that use artificial intelligence will protect my personal data,Hungary,60%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Hungary,36%
Products and services using artificial intelligence make me excited,Hungary,45%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,India,63%
I trust companies that use artificial intelligence as much as I trust other companies,India,67%
I trust that companies that use artificial intelligence will protect my personal data,India,64%
I know which types of products and services use artificial intelligence,India,62%
Products and services using artificial intelligence make me nervous,India,58%
Products and services using artificial intelligence make me excited,India,66%
I trust artificial intelligence to not discriminate or show bias towards any group of people,India,66%
I have a good understanding of what artificial intelligence is,India,64%
Products and services using artificial intelligence have more benefits than drawbacks,India,65%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,India,65%
I have a good understanding of what artificial intelligence is,Indonesia,84%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Indonesia,79%
I trust artificial intelligence to not discriminate or show bias towards any group of people,Indonesia,76%
Products and services using artificial intelligence have more benefits than drawbacks,Indonesia,78%
I trust companies that use artificial intelligence as much as I trust other companies,Indonesia,69%
Products and services using artificial intelligence make me nervous,Indonesia,48%
I know which types of products and services use artificial intelligence,Indonesia,76%
I trust that companies that use artificial intelligence will protect my personal data,Indonesia,68%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Indonesia,72%
Products and services using artificial intelligence make me excited,Indonesia,75%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Ireland,31%
Products and services using artificial intelligence make me nervous,Ireland,62%
I trust that companies that use artificial intelligence will protect my personal data,Ireland,38%
I know which types of products and services use artificial intelligence,Ireland,36%
I trust companies that use artificial intelligence as much as I trust other companies,Ireland,39%
Products and services using artificial intelligence have more benefits than drawbacks,Ireland,40%
I trust artificial intelligence to not discriminate or show bias towards any group of people,Ireland,41%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Ireland,53%
I have a good understanding of what artificial intelligence is,Ireland,58%
Products and services using artificial intelligence make me excited,Ireland,38%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Italy,44%
I trust that companies that use artificial intelligence will protect my personal data,Italy,59%
I know which types of products and services use artificial intelligence,Italy,50%
Products and services using artificial intelligence make me nervous,Italy,50%
I trust companies that use artificial intelligence as much as I trust other companies,Italy,53%
Products and services using artificial intelligence make me excited,Italy,50%
I trust artificial intelligence to not discriminate or show bias towards any group of people,Italy,59%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Italy,63%
I have a good understanding of what artificial intelligence is,Italy,53%
Products and services using artificial intelligence have more benefits than drawbacks,Italy,55%
Products and services using artificial intelligence make me nervous,Japan,23%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Japan,36%
I trust that companies that use artificial intelligence will protect my personal data,Japan,32%
I know which types of products and services use artificial intelligence,Japan,38%
I trust companies that use artificial intelligence as much as I trust other companies,Japan,44%
Products and services using artificial intelligence make me excited,Japan,51%
Products and services using artificial intelligence have more benefits than drawbacks,Japan,52%
I trust artificial intelligence to not discriminate or show bias towards any group of people,Japan,43%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Japan,65%
I have a good understanding of what artificial intelligence is,Japan,43%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Malaysia,71%
I trust that companies that use artificial intelligence will protect my personal data,Malaysia,61%
I know which types of products and services use artificial intelligence,Malaysia,68%
Products and services using artificial intelligence make me nervous,Malaysia,55%
I trust companies that use artificial intelligence as much as I trust other companies,Malaysia,70%
Products and services using artificial intelligence have more benefits than drawbacks,Malaysia,69%
I trust artificial intelligence to not discriminate or show bias towards any group of people,Malaysia,68%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Malaysia,78%
I have a good understanding of what artificial intelligence is,Malaysia,65%
Products and services using artificial intelligence make me excited,Malaysia,74%
Products and services using artificial intelligence make me nervous,Mexico,48%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Mexico,66%
I trust that companies that use artificial intelligence will protect my personal data,Mexico,66%
I know which types of products and services use artificial intelligence,Mexico,61%
I trust companies that use artificial intelligence as much as I trust other companies,Mexico,66%
Products and services using artificial intelligence make me excited,Mexico,74%
Products and services using artificial intelligence have more benefits than drawbacks,Mexico,73%
I trust artificial intelligence to not discriminate or show bias towards any group of people,Mexico,72%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Mexico,71%
I have a good understanding of what artificial intelligence is,Mexico,75%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Netherlands,36%
I trust that companies that use artificial intelligence will protect my personal data,Netherlands,47%
I know which types of products and services use artificial intelligence,Netherlands,42%
Products and services using artificial intelligence make me nervous,Netherlands,50%
I trust companies that use artificial intelligence as much as I trust other companies,Netherlands,44%
Products and services using artificial intelligence make me excited,Netherlands,42%
Products and services using artificial intelligence have more benefits than drawbacks,Netherlands,43%
I trust artificial intelligence to not discriminate or show bias towards any group of people,Netherlands,42%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Netherlands,63%
I have a good understanding of what artificial intelligence is,Netherlands,71%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,New Zealand,35%
I trust that companies that use artificial intelligence will protect my personal data,New Zealand,42%
I know which types of products and services use artificial intelligence,New Zealand,35%
Products and services using artificial intelligence make me nervous,New Zealand,63%
I trust companies that use artificial intelligence as much as I trust other companies,New Zealand,43%
Products and services using artificial intelligence make me excited,New Zealand,43%
Products and services using artificial intelligence have more benefits than drawbacks,New Zealand,44%
I trust artificial intelligence to not discriminate or show bias towards any group of people,New Zealand,45%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,New Zealand,61%
I have a good understanding of what artificial intelligence is,New Zealand,62%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Peru,65%
I trust that companies that use artificial intelligence will protect my personal data,Peru,60%
I know which types of products and services use artificial intelligence,Peru,65%
Products and services using artificial intelligence make me nervous,Peru,47%
I trust companies that use artificial intelligence as much as I trust other companies,Peru,60%
Products and services using artificial intelligence make me excited,Peru,72%
Products and services using artificial intelligence have more benefits than drawbacks,Peru,67%
I trust artificial intelligence to not discriminate or show bias towards any group of people,Peru,72%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Peru,76%
