"Change of granted AI patents (per 100,000 inhabitants)",Country
3.874852819682156,New Zealand
8.028573916009343,Canada
9.068988424626886,Finland
9.08353894396491,Australia
9.61492829905158,Germany
10.860686210850208,France
11.36911197650535,Japan
12.45885123417244,United Kingdom
12.993456729111463,United States
14.629401950216476,Denmark
35.69029885543726,China
38.011280435942815,South Korea
53.66030574299693,Singapore
