Segment,Fiscal year,U.S. government spending (in billions of U.S. dollars)
Memory & Processing,2018,1.57
Semiconductor,2018,0.13
Memory & Processing,2019,1.98
Semiconductor,2019,0.12
Memory & Processing,2020,1.4
Semiconductor,2020,0.09
Memory & Processing,2021,1.57
Semiconductor,2021,0.09
Memory & Processing,2022,2.29
Semiconductor,2022,0.24
Memory & Processing,2023,3.41
Semiconductor,2023,0.48
