Year,Number of AI-related bills,Label
2016,0,Passed
2017,1,Passed
2018,3,Passed
2019,3,Passed
2020,3,Passed
2021,3,Passed
2022,9,Passed
2023,1,Passed
2016,1,Proposed 
2017,13,Proposed 
2018,29,Proposed 
2019,66,Proposed 
2020,100,Proposed 
2021,134,Proposed 
2022,88,Proposed 
2023,181,Proposed 
