Year,Approach,Number of AI-related regulations
2017,Expansive,1
2019,Expansive,2
2020,Expansive,2
2021,Expansive,15
2022,Expansive,10
2023,Expansive,12
2017,Restrictive,1
2018,Restrictive,1
2019,Restrictive,2
2020,Restrictive,2
2021,Restrictive,6
2022,Restrictive,5
2023,Restrictive,8
