Country,Year,Gender,Percentage
Austria,2011,Female,13.66%
Austria,2012,Female,16.22%
Austria,2013,Female,13.24%
Austria,2014,Female,17.67%
Austria,2015,Female,16.33%
Austria,2016,Female,16.60%
Austria,2017,Female,17.29%
Austria,2018,Female,20.51%
Austria,2019,Female,21.92%
Austria,2020,Female,20.76%
Austria,2021,Female,24.16%
Austria,2022,Female,26.68%
Belgium,2011,Female,6.25%
Belgium,2012,Female,8.32%
Belgium,2013,Female,5.98%
Belgium,2014,Female,8.30%
Belgium,2015,Female,8.41%
Belgium,2016,Female,10.18%
Belgium,2017,Female,13.66%
Belgium,2018,Female,15.71%
Belgium,2019,Female,11.51%
Belgium,2020,Female,13.86%
Belgium,2021,Female,13.67%
Bulgaria,2011,Female,40.10%
Bulgaria,2012,Female,38.11%
Bulgaria,2013,Female,39.71%
Bulgaria,2014,Female,40.98%
Bulgaria,2015,Female,42.98%
Bulgaria,2016,Female,39.12%
Bulgaria,2017,Female,42.74%
Bulgaria,2018,Female,43.71%
Bulgaria,2019,Female,38.90%
Bulgaria,2020,Female,38.71%
Bulgaria,2021,Female,43.02%
Bulgaria,2022,Female,40.43%
Czech Republic,2011,Female,9.15%
Czech Republic,2012,Female,12.28%
Czech Republic,2013,Female,11.78%
Czech Republic,2014,Female,12.72%
Czech Republic,2015,Female,14.25%
Czech Republic,2016,Female,16.84%
Czech Republic,2017,Female,17.24%
Czech Republic,2018,Female,18.46%
Czech Republic,2019,Female,18.42%
Czech Republic,2020,Female,19.60%
Czech Republic,2021,Female,19.46%
Czech Republic,2022,Female,21.02%
Estonia,2011,Female,42.02%
Estonia,2012,Female,27.20%
Estonia,2013,Female,39.23%
Estonia,2014,Female,39.71%
Estonia,2015,Female,36.88%
Estonia,2016,Female,29.23%
Estonia,2017,Female,31.25%
Estonia,2018,Female,35.00%
Estonia,2019,Female,47.18%
Estonia,2020,Female,38.77%
Estonia,2021,Female,36.71%
Estonia,2022,Female,41.98%
Finland,2011,Female,17.36%
Finland,2012,Female,25.36%
Finland,2013,Female,19.07%
Finland,2014,Female,22.69%
Finland,2015,Female,23.10%
Finland,2016,Female,25.41%
Finland,2017,Female,24.07%
Finland,2018,Female,26.11%
Finland,2019,Female,25.75%
Finland,2020,Female,26.89%
Finland,2021,Female,29.14%
Finland,2022,Female,27.57%
France,2011,Female,20.96%
France,2012,Female,19.54%
France,2013,Female,22.10%
France,2014,Female,21.96%
France,2015,Female,22.00%
France,2016,Female,21.93%
France,2017,Female,23.23%
France,2018,Female,21.43%
France,2019,Female,22.69%
France,2020,Female,22.10%
France,2021,Female,23.14%
Germany,2011,Female,17.47%
Germany,2012,Female,14.32%
Germany,2013,Female,15.06%
Germany,2014,Female,14.78%
Germany,2015,Female,16.06%
Germany,2016,Female,17.28%
Germany,2017,Female,17.73%
Germany,2018,Female,19.15%
Germany,2019,Female,20.10%
Germany,2020,Female,21.15%
Germany,2021,Female,22.81%
Germany,2022,Female,23.51%
Ireland,2011,Female,25.67%
Ireland,2012,Female,27.15%
Ireland,2013,Female,26.05%
Ireland,2014,Female,25.19%
Ireland,2015,Female,21.70%
Ireland,2016,Female,25.32%
Ireland,2017,Female,24.86%
Ireland,2018,Female,27.03%
Ireland,2019,Female,26.71%
Ireland,2020,Female,29.54%
Ireland,2021,Female,28.98%
Ireland,2022,Female,31.17%
Italy,2011,Female,16.66%
Italy,2012,Female,14.97%
Italy,2013,Female,15.23%
Italy,2014,Female,14.61%
Italy,2015,Female,14.41%
Italy,2016,Female,14.32%
Italy,2017,Female,14.72%
Italy,2018,Female,15.01%
Italy,2019,Female,15.76%
Italy,2020,Female,15.37%
Italy,2021,Female,15.89%
Italy,2022,Female,14.09%
Latvia,2011,Female,28.72%
Latvia,2012,Female,29.82%
Latvia,2013,Female,23.96%
Latvia,2014,Female,24.05%
Latvia,2015,Female,22.26%
Latvia,2016,Female,26.10%
Latvia,2017,Female,27.20%
Latvia,2018,Female,35.62%
Latvia,2019,Female,27.95%
