Statement,Country,% point change 2022�23
I have a good understanding of what artificial intelligence is,Malaysia,4%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Malaysia,6%
Products and services using artificial intelligence have more benefits than drawbacks,Malaysia,5%
I trust companies that use artificial intelligence as much as I trust other companies,Malaysia,9%
Products and services using artificial intelligence make me nervous,Malaysia,7%
I know which types of products and services use AI,Malaysia,7%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Malaysia,6%
I know which types of products and services use AI,Mexico,-1%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Mexico,4%
Products and services using artificial intelligence make me nervous,Mexico,10%
I trust companies that use artificial intelligence as much as I trust other companies,Mexico,6%
Products and services using artificial intelligence have more benefits than drawbacks,Mexico,8%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Mexico,5%
I have a good understanding of what artificial intelligence is,Mexico,1%
I know which types of products and services use AI,Netherlands,1%
Products and services using artificial intelligence make me nervous,Netherlands,14%
I trust companies that use artificial intelligence as much as I trust other companies,Netherlands,7%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Netherlands,-3%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Netherlands,10%
I have a good understanding of what artificial intelligence is,Netherlands,6%
Products and services using artificial intelligence have more benefits than drawbacks,Netherlands,10%
I have a good understanding of what artificial intelligence is,Peru,-2%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Peru,5%
Products and services using artificial intelligence have more benefits than drawbacks,Peru,-3%
I trust companies that use artificial intelligence as much as I trust other companies,Peru,0%
Products and services using artificial intelligence make me nervous,Peru,12%
I know which types of products and services use AI,Peru,2%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Peru,0%
Products and services using artificial intelligence make me nervous,Poland,8%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Poland,2%
I trust companies that use artificial intelligence as much as I trust other companies,Poland,-1%
I know which types of products and services use AI,Poland,-6%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Poland,3%
I have a good understanding of what artificial intelligence is,Poland,3%
Products and services using artificial intelligence have more benefits than drawbacks,Poland,-1%
I know which types of products and services use AI,South Africa,2%
Products and services using artificial intelligence make me nervous,South Africa,1%
I trust companies that use artificial intelligence as much as I trust other companies,South Africa,-1%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,South Africa,1%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,South Africa,-2%
I have a good understanding of what artificial intelligence is,South Africa,0%
Products and services using artificial intelligence have more benefits than drawbacks,South Africa,2%
I have a good understanding of what artificial intelligence is,South Korea,3%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,South Korea,6%
Products and services using artificial intelligence have more benefits than drawbacks,South Korea,4%
I trust companies that use artificial intelligence as much as I trust other companies,South Korea,8%
Products and services using artificial intelligence make me nervous,South Korea,13%
I know which types of products and services use AI,South Korea,8%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,South Korea,11%
Products and services using artificial intelligence make me nervous,Spain,3%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Spain,-8%
I trust companies that use artificial intelligence as much as I trust other companies,Spain,0%
I know which types of products and services use AI,Spain,0%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Spain,5%
I have a good understanding of what artificial intelligence is,Spain,4%
Products and services using artificial intelligence have more benefits than drawbacks,Spain,-3%
I have a good understanding of what artificial intelligence is,Sweden,7%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Sweden,5%
Products and services using artificial intelligence have more benefits than drawbacks,Sweden,-1%
I trust companies that use artificial intelligence as much as I trust other companies,Sweden,3%
Products and services using artificial intelligence make me nervous,Sweden,16%
I know which types of products and services use AI,Sweden,-1%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Sweden,1%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Turkey,3%
I know which types of products and services use AI,Turkey,11%
Products and services using artificial intelligence make me nervous,Turkey,6%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Turkey,8%
Products and services using artificial intelligence have more benefits than drawbacks,Turkey,7%
I have a good understanding of what artificial intelligence is,Turkey,5%
I trust companies that use artificial intelligence as much as I trust other companies,Turkey,3%
I know which types of products and services use AI,United States ,-4%
I have a good understanding of what artificial intelligence is,United States ,4%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,United States ,11%
Products and services using artificial intelligence have more benefits than drawbacks,United States ,2%
I trust companies that use artificial intelligence as much as I trust other companies,United States ,1%
Products and services using artificial intelligence make me nervous,United States ,11%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,United States ,-2%
