Country,"Number of AI-related bills passed into law, 2016–23 (sum)"
United States,23
Portugal,15
Belgium,12
Spain,11
South Korea,11
Italy,10
Russia,10
United Kingdom,8
France,7
Austria,6
Philippines,5
Slovenia,3
Argentina,3
Andorra,3
Germany,3
