Year,Number of AI-related regulations,Label
2016,1,Medium
2018,2,Low
2018,1,Medium
2019,8,Low
2019,2,High
2020,9,Low
2020,6,Medium
2020,1,High
2021,6,Low
2021,6,Medium
2022,11,Low
2022,5,Medium
2023,14,Low
2023,7,Medium
2023,4,High
