Year,Primary subject matter,Number of AI-related regulations
2017,Armed forces and national security,1
2018,"Science, technology, communications",1
2019,Education,1
2019,Finance and financial sector,1
2019,Foreign trade and international finance,1
2019,"Science, technology, communications",2
2020,Commerce,1
2020,Government operations and politics,2
2021,"Arts, culture, religion",1
2021,"Civil rights and liberties, minority issues",1
2021,Commerce,2
2021,Economics and public finance,2
2021,Energy,1
2021,Foreign trade and international finance,3
2021,Government operations and politics,5
2021,"Science, technology, communications",6
2022,Armed forces and national security,1
2022,Commerce,2
2022,Crime and law enforcement,1
2022,Government operations and politics,2
2022,Health,4
2022,"Science, technology, communications",2
2023,"Civil rights and liberties, minority issues",1
2023,Commerce,1
2023,Economics and public finance,2
2023,Government operations and politics,3
2023,International affairs,1
2023,"Science, technology, communications",5
2023,Social welfare,1
2023,Transportation and public works,1
