Country,Label,% of respondents
Global,Daily,17.2%
Argentina,Daily,9.3%
Australia,Daily,8.3%
Brazil,Daily,21.0%
Canada,Daily,13.2%
Chile,Daily,9.0%
China,Daily,24.0%
France,Daily,11.6%
Germany,Daily,8.7%
India,Daily,36.1%
Indonesia,Daily,19.8%
Italy,Daily,8.9%
Japan,Daily,6.1%
Kenya,Daily,27.2%
Mexico,Daily,13.4%
Pakistan,Daily,27.9%
Poland,Daily,10.4%
Portugal,Daily,10.1%
South Africa,Daily,13.2%
Spain,Daily,10.8%
United Kingdom,Daily,10.4%
United States,Daily,18.2%
Global,Weekly,35.8%
Argentina,Weekly,33.0%
Australia,Weekly,38.4%
Brazil,Weekly,37.5%
Canada,Weekly,30.0%
Chile,Weekly,39.2%
China,Weekly,49.4%
France,Weekly,27.2%
Germany,Weekly,32.3%
India,Weekly,39.0%
Indonesia,Weekly,38.8%
Italy,Weekly,34.9%
Japan,Weekly,31.5%
Kenya,Weekly,41.5%
Mexico,Weekly,42.4%
Pakistan,Weekly,34.4%
Poland,Weekly,31.0%
Portugal,Weekly,27.4%
South Africa,Weekly,35.0%
Spain,Weekly,35.3%
United Kingdom,Weekly,27.8%
United States,Weekly,26.9%
Global,Monthly,16.5%
Argentina,Monthly,20.5%
Australia,Monthly,16.8%
Brazil,Monthly,14.5%
Canada,Monthly,20.4%
Chile,Monthly,18.2%
China,Monthly,14.7%
France,Monthly,18.6%
Germany,Monthly,19.9%
India,Monthly,10.3%
Indonesia,Monthly,10.8%
Italy,Monthly,17.1%
Japan,Monthly,20.1%
Kenya,Monthly,13.2%
Mexico,Monthly,19.1%
Pakistan,Monthly,15.6%
Poland,Monthly,14.3%
Portugal,Monthly,18.2%
South Africa,Monthly,21.3%
Spain,Monthly,16.2%
United Kingdom,Monthly,20.0%
United States,Monthly,21.1%
