Year,Foundation models (% of total),Access type
2019.0,0.0,Limited
2020.0,0.5,Limited
2021.0,0.2962962962962960,Limited
2022.0,0.16666666666666700,Limited
2023.0,0.15436241610738300,Limited
2019.0,0.25,No access
2020.0,0.0,No access
2021.0,0.37037037037037000,No access
2022.0,0.3888888888888890,No access
2023.0,0.18791946308724800,No access
2019.0,0.75,Open
2020.0,0.5,Open
2021.0,0.3333333333333330,Open
2022.0,0.4444444444444440,Open
2023.0,0.6577181208053690,Open
