Country,"Number of new informatics, CS, CE, and IT PhD graduates"
Bulgaria,24
Estonia,26
Romania,47
Ireland,65
Portugal,72
Austria,96
Finland,114
Switzerland,116
Netherlands,120
Czech Republic,150
Turkey,298
Spain,479
Italy,581
Germany,910
United Kingdom,1060
