Publication date,Training compute (petaFLOP),Sector
4/24/23,40200000,Industry–academia
4/17/23,48522.24,Industry–academia
4/14/23,7418511.36,Industry–academia
4/9/23,3000010,Industry–academia
3/5/23,7200000,Industry–academia
11/28/22,215700.00001000002,Industry–academia
11/20/22,510000,Industry–academia
11/3/22,109,Industry–academia
10/11/22,1420000,Industry–academia
8/10/22,430000000,Industry–academia
7/21/22,73500000,Industry–academia
6/27/22,13500000.000000002,Industry–academia
5/27/22,7240000,Industry–academia
4/13/22,49999999.99999999,Industry–academia
3/21/22,26500,Industry–academia
3/10/22,3400000,Industry–academia
2/10/22,65000,Industry–academia
1/7/22,23439.9744,Industry–academia
12/23/21,1042100000,Industry–academia
11/24/21,4838400,Industry–academia
11/1/21,1560000,Industry–academia
10/15/21,17920000,Industry–academia
7/29/21,4420000,Industry–academia
6/28/21,82000,Industry–academia
6/9/21,1240000,Industry–academia
5/4/21,73700000,Industry–academia
5/4/21,39000000,Industry–academia
2/13/21,5489999.999999999,Industry–academia
12/25/20,562,Industry–academia
8/31/20,480000,Industry–academia
8/3/20,24000,Industry–academia
4/29/20,1784280.96,Industry–academia
3/23/20,3100000,Industry–academia
3/11/20,460,Industry–academia
2/21/20,44100,Industry–academia
2/9/20,2390000,Industry–academia
12/19/19,780000,Industry–academia
11/11/19,849346.56,Industry–academia
11/1/19,7300,Industry–academia
10/2/19,7600,Industry–academia
7/1/19,4153835.52,Industry–academia
6/24/19,4760,Industry–academia
2/1/19,4300,Industry–academia
1/9/19,10900,Industry–academia
10/15/18,2780,Industry–academia
9/28/18,3000000.0000099996,Industry–academia
9/17/18,11000,Industry–academia
8/30/18,693,Industry–academia
6/24/18,11,Industry–academia
3/27/18,24000,Industry–academia
2/9/18,20.1,Industry–academia
12/5/17,1.34,Industry–academia
12/2/17,66290.4,Industry–academia
9/15/17,3.4,Industry–academia
7/10/17,843000,Industry–academia
1/23/17,93939.05664,Industry–academia
11/4/16,21.3,Industry–academia
6/21/16,61.49293979,Industry–academia
7/6/15,3.34,Industry–academia
6/7/15,1557.140125,Industry–academia
3/17/15,73,Industry–academia
12/22/14,60.48,Industry–academia
9/8/14,91,Industry–academia
6/18/14,3411.072,Industry–academia
1/1/14,44,Industry–academia
12/5/13,1340.928,Industry–academia
6/12/13,0.0908424,Industry–academia
5/22/18,75.9,Academia–government
11/8/22,360000000,Industry–research collective
