model,year,TB,TB∧FB
GPT-3.5-turbo,2022,0.1,0.07
text-davinci-003,2022,0.12,0.09
Claude,2023,0.29,0.15
Claude-2,2023,0.3,0.24
LLaMA-65,2023,0.35,0.34
GPT-4-0314,2023,0.62,0.4
Human performance,2023,0.8125,0.725
