login,discovery_method,first_marker_date,marker_type,marker_confidence,tool_type
schmoli,commit_search_coauthor,2025-12-08T09:01:43.000-08:00,commit_search: Claude (2025-H2),high,claude
steebchen,commit_search_coauthor,2025-12-31T15:37:54.000Z,commit_search: Claude (2025-H2),high,claude
xrchz,commit_search_coauthor,2025-12-27T18:45:05.000Z,commit_search: Claude (2025-H2),high,claude
harishsurf,commit_search_coauthor,2025-11-25T13:26:38.000-05:00,commit_search: Claude (2025-H2),high,claude
duncanmcclean,commit_search_coauthor,2025-12-30T15:55:46.000Z,commit_search: Claude (2025-H2),high,claude
cbh123,commit_search_coauthor,2025-12-13T14:11:37.000-08:00,commit_search: Claude (2025-H2),high,claude
mairas,commit_search_coauthor,2025-12-30T13:21:40.000+02:00,commit_search: Claude (2025-H2),high,claude
SferaDev,commit_search_coauthor,2025-12-31T16:12:47.000Z,commit_search: Claude (2025-H2),high,claude
buinauskas,commit_search_coauthor,2025-12-29T09:37:51.000+02:00,commit_search: Claude (2025-H2),high,claude
benfdking,commit_search_coauthor,2025-12-31T14:05:54.000+01:00,commit_search: Claude (2025-H2),high,claude
Zalajobi,commit_search_coauthor,2025-12-28T14:27:20.000+01:00,commit_search: Claude (2025-H2),high,claude
propropro123999,commit_search_coauthor,2025-12-15T15:09:59.000+08:00,commit_search: Claude (2025-H2),high,claude
oreparaz,commit_search_coauthor,2025-12-29T01:08:39.000+01:00,commit_search: Claude (2025-H2),high,claude
kitasenbei,commit_search_coauthor,2025-12-28T23:38:08.000+09:00,commit_search: Claude (2025-H2),high,claude
teodorciuraru,commit_search_coauthor,2025-12-15T14:37:29.000+02:00,commit_search: Claude (2025-H2),high,claude
mgpai22,commit_search_coauthor,2025-12-26T15:47:31.000-05:00,commit_search: Claude (2025-H2),high,claude
acron0,commit_search_coauthor,2025-12-30T15:57:15.000Z,commit_search: Claude (2025-H2),high,claude
LukasStryg,commit_search_coauthor,2025-12-29T18:13:23.000+01:00,commit_search: Claude (2025-H2),high,claude
hey-amelia,commit_search_coauthor,2025-12-31T18:18:37.000Z,commit_search: Claude (2025-H2),high,claude
Secretsuperdevstar,commit_search_coauthor,2025-11-22T20:54:59.000-05:00,commit_search: Claude (2025-H2),high,claude
