login,label,discovery_method,marker_confidence,tool_type,pre_commit_count,pre_mean_message_length,pre_active_weeks,pre_repos_touched,pre_mean_commits_per_active_week,pre_frac_multiline,pre_frac_conventional,pre_frac_mentions_test,pre_frac_has_bullets,pre_mean_inter_commit_hours,pre_frac_burst_commits,pre_sampled_test_cowrite_rate,pre_file_sample_count,pre_mean_pr_body_length,pre_frac_pr_has_body,post_commit_count,post_mean_message_length,post_active_weeks,post_repos_touched,post_mean_commits_per_active_week,post_frac_multiline,post_frac_conventional,post_frac_mentions_test,post_frac_has_bullets,post_mean_inter_commit_hours,post_frac_burst_commits,post_sampled_test_cowrite_rate,post_file_sample_count,post_mean_pr_body_length,post_frac_pr_has_body,delta_commit_count,delta_mean_message_length,delta_active_weeks,delta_repos_touched,delta_mean_commits_per_active_week,delta_frac_multiline,delta_frac_conventional,delta_frac_mentions_test,delta_frac_has_bullets,delta_mean_inter_commit_hours,delta_frac_burst_commits,delta_sampled_test_cowrite_rate,delta_file_sample_count,delta_mean_pr_body_length,delta_frac_pr_has_body
ymat19,1,commit_search_coauthor,high,claude,90,58.12,21,5,4.29,0.311,0.233,0.044,0.178,139.41,0.629,0.0,11,11467.4,0.792,49,263.71,21,3,2.33,1.0,0.673,0.0,0.592,122.35,0.104,0.0,15,7892.0,0.557,-41,205.59,0,-2,-1.96,0.689,0.44,-0.044,0.414,-17.06,-0.525,0.0,4,-3575.4,-0.235
tx-signer450,1,commit_search_coauthor,high,claude,154,187.69,47,2,3.28,0.481,0.0,0.0,0.058,170.65,0.333,0.0,37,0.0,0.0,58,181.9,8,2,7.25,0.655,0.017,0.0,0.017,41.25,0.614,0.0,6,0.0,0.0,-96,-5.79,-39,0,3.97,0.174,0.017,0.0,-0.041,-129.4,0.281,0.0,-31,0.0,0.0
meimakes,1,commit_search_coauthor,high,claude,15,17.27,4,3,3.75,0.0,0.0,0.0,0.0,58.56,0.571,0.0,4,0.0,0.0,22,36.68,6,5,3.67,0.136,0.136,0.0,0.0,312.98,0.571,0.0,4,94.33,1.0,7,19.41,2,2,-0.08,0.136,0.136,0.0,0.0,254.42,0.0,0.0,0,94.33,1.0
icepuma,1,commit_search_coauthor,high,claude,228,35.51,60,3,3.8,0.088,0.175,0.004,0.083,131.41,0.52,0.308,45,12695.5,0.889,12,277.42,5,1,2.4,0.583,1.0,0.0,0.5,501.78,0.545,0.0,4,13723.0,1.0,-216,241.91,-55,-2,-1.4,0.495,0.825,-0.004,0.417,370.37,0.025,-0.308,-41,1027.5,0.111
aygp-dr,1,commit_search_coauthor,high,claude,47,154.81,10,4,4.7,0.681,0.851,0.021,0.532,120.14,0.5,0.0,9,980.0,1.0,43,222.05,5,1,8.6,0.86,0.977,0.233,0.535,19.26,0.69,1.0,10,0.0,0.0,-4,67.24,-5,-3,3.9,0.179,0.126,0.212,0.003,-100.88,0.19,1.0,1,-980.0,-1.0
oscar-barlow,1,commit_search_coauthor,high,claude,163,62.1,29,4,5.62,0.209,0.0,0.006,0.104,150.67,0.654,0.0,33,14.56,0.154,48,259.98,18,2,2.67,0.625,0.0,0.0,0.604,141.45,0.191,0.0,10,391.57,0.389,-115,197.88,-11,-2,-2.95,0.416,0.0,-0.006,0.5,-9.22,-0.463,0.0,-23,377.01,0.235
hartra344,1,commit_search_coauthor,high,claude,50,87.3,4,2,12.5,0.12,0.26,0.02,0.12,236.38,0.837,0.0,8,0.0,0.0,17,108.76,4,2,4.25,0.235,0.235,0.059,0.118,365.79,0.75,0.0,4,0.0,0.0,-33,21.46,0,0,-8.25,0.115,-0.025,0.039,-0.002,129.41,-0.087,0.0,-4,0.0,0.0
thecodingcrow,1,commit_search_coauthor,high,claude,39,16.87,3,1,13.0,0.026,0.0,0.0,0.0,356.96,0.921,0.0,7,0.0,0.0,16,37.31,2,1,8.0,0.25,0.0,0.0,0.0,136.25,0.933,0.0,4,958.0,1.0,-23,20.44,-1,0,-5.0,0.224,0.0,0.0,0.0,-220.71,0.012,0.0,-3,958.0,1.0
cli-phantomxmj80p,1,commit_search_coauthor,high,claude,641,98.96,115,5,5.57,0.309,0.016,0.078,0.236,47.42,0.383,0.24,131,0.0,0.0,85,218.87,13,4,6.54,0.694,0.071,0.118,0.588,26.3,0.393,0.2,13,0.0,0.0,-556,119.91,-102,-1,0.97,0.385,0.055,0.04,0.352,-21.12,0.01,-0.04,-118,0.0,0.0
john-b-rush,1,commit_search_coauthor,high,claude,200,3.0,16,1,12.5,0.0,0.0,0.0,0.0,13.15,0.452,0.0,40,0.0,0.0,71,111.61,9,3,7.89,0.282,0.028,0.014,0.169,86.05,0.757,0.0,13,0.0,0.0,-129,108.61,-7,2,-4.61,0.282,0.028,0.014,0.169,72.9,0.305,0.0,-27,0.0,0.0
Top-Dev1219,1,commit_search_coauthor,high,claude,190,103.75,53,2,3.58,0.4,0.511,0.1,0.147,152.9,0.455,0.833,33,0.0,0.0,233,119.86,21,4,11.1,0.631,0.099,0.026,0.056,15.63,0.534,0.611,51,5411.0,0.5,43,16.11,-32,2,7.52,0.231,-0.412,-0.074,-0.091,-137.27,0.079,-0.222,18,5411.0,0.5
